,x,loss
56,"[1.         0.65232096 0.86751356 0.86153433 1.         0.
 0.58250143 1.         0.         0.56167688 0.38734915 0.56672901
 0.         0.6793509  0.0521214  1.         0.         1.
 0.         0.03118223 0.67926626 0.         0.27739385 0.
 1.         0.1053582  0.29783443 0.11942052]",10946.550816880463
57,"[0.         1.         1.         0.37475644 0.74714215 0.2708579
 1.         0.27893455 0.18211446 0.85094363 0.73989978 0.46110891
 0.12415248 0.         0.         0.7992025  0.33967885 0.
 0.60824972 0.13653137 0.19425808 0.0531058  0.22263883 0.60336009
 1.         0.68939466 0.4096504  0.        ]",11745.073793218444
58,"[0.19621243 1.         0.44283974 0.02083904 0.80290465 0.63319777
 1.         0.         0.         0.99201887 0.33926059 1.
 0.         0.60131778 0.06486462 0.10362047 1.         0.86802021
 0.         1.         0.59350744 1.         0.94525431 0.
 0.11215346 0.         0.         1.        ]",14403.830762340083
59,"[0.         0.48370199 0.         0.         0.30714282 0.
 1.         1.         0.65558125 0.44103113 1.         0.92274677
 0.78364827 1.         0.         1.         0.         1.
 0.54400088 0.26792211 0.07733593 0.18862102 0.78903086 0.1746927
 0.57030126 0.34955125 0.58473305 0.25963055]",14451.432807476109
60,"[0.7794558  0.05627459 0.64062635 0.84773552 0.29933633 0.
 0.91669727 0.43659036 0.07440654 0.         0.3581451  0.11981805
 1.         1.         0.4719311  0.31811936 0.9891721  0.47484165
 0.87949117 0.84605864 0.5571405  0.46318787 1.         0.8093219
 0.6095566  0.         0.79217934 1.        ]",16858.564450687023
61,"[0.         1.         1.         0.19317564 0.70479605 1.
 0.43013212 0.         0.40741644 0.45892095 0.40672438 0.21198988
 0.63306493 0.51493064 0.04511955 0.45374055 0.50824075 0.
 0.16381075 1.         0.         0.38243626 0.96833007 1.
 1.         1.         0.70730841 0.88517239]",18632.98108320716
62,"[1.00000000e+00 6.67360994e-01 5.98569300e-01 1.00000000e+00
 0.00000000e+00 1.85277376e-01 0.00000000e+00 5.51902027e-01
 8.08890138e-01 0.00000000e+00 5.84848504e-04 0.00000000e+00
 4.93348317e-01 3.54509325e-01 2.47854351e-01 6.63225723e-01
 2.08451238e-01 8.76085089e-01 0.00000000e+00 1.00000000e+00
 1.00000000e+00 6.91218516e-01 1.00000000e+00 9.31390348e-01
 1.00000000e+00 4.13257920e-01 7.71102905e-01 1.57706441e-01]",19495.53781160173
63,"[0.4585998  0.07152885 1.         0.32786152 0.36742064 0.
 0.05994204 0.         1.         1.         0.95487897 0.06260139
 1.         0.17502147 0.         1.         0.         0.00347361
 0.         1.         1.         0.04624271 0.48750058 0.2428765
 0.53824437 0.04136427 0.58027696 0.4077402 ]",20772.516417543437
64,"[0.37995077 0.26598113 0.         0.         0.         0.00689932
 0.07941907 0.96651639 0.         0.85382909 0.45290785 1.
 0.10977626 1.         0.31343788 0.29948749 0.29397457 1.
 0.78526629 0.         0.45870393 0.91346255 0.82956986 0.38551149
 0.86232185 0.70142436 0.01540277 0.81001911]",21075.821067272027
65,"[1.         0.1178196  0.24011596 1.         0.41881712 1.
 0.         0.96347557 0.55753794 0.24601478 0.         0.
 0.15510861 0.27522826 0.70825353 0.42058528 0.         1.
 0.28007104 0.29675218 0.40288266 0.         0.49468063 0.
 0.         0.8409948  0.97279936 0.12715385]",27301.91225534572
66,"[0.24296713 0.         0.75272144 0.16406548 1.         1.
 0.         0.         0.31035618 1.         0.27704769 0.75787608
 0.06167435 0.2972574  0.27830016 0.35863908 0.31081409 1.
 0.28171267 1.         0.17268673 0.         1.         0.46064139
 0.50292241 1.         0.         0.44400037]",44698.12499016471
67,"[0.15909132 0.59560296 0.         0.39774272 0.98949013 0.07195621
 0.41476583 1.         0.81988418 0.         0.83706553 0.
 0.66584916 1.         0.76987276 0.62603044 0.40064938 1.
 0.         0.76688866 0.         0.50111568 0.27931361 0.
 1.         0.         0.04935421 0.43776598]",209231.2338609679
